ID,LastName,FirstName,Pos,CapHit
8482177,Khusnutdinov,Marat,C,925000.0
8480074,Texier,Alexandre,L,2100000.0
8480434,Durzi,Sean,D,6000000.0
8481237,MacLean,Kyle,C,775000.0
8481556,Beecher,John,C,900000.0
8481708,Jones,Zachary,D,
8481725,Soderblom,Elmer,L,1125000.0
8483505,Poitras,Matthew,C,870000.0
8484911,Graf,Collin,R,941667.0
8475762,Forbort,Derek,D,2000000.0
8477407,Duclair,Anthony,L,3500000.0
8477478,Carrier,William,L,2000000.0
8476856,Dumba,Matt,D,
8477851,Oesterle,Jordan,D,775000.0
8479414,Bastian,Nathan,R,775000.0
8479359,Malenstyn,Beck,L,1350000.0
8480035,Jokiharju,Henri,D,3000000.0
8480980,Dewar,Connor,C,1100000.0
8481122,Benoit,Simon,D,1350000.0
8481527,Korczak,Kaedan,D,825000.0
8482095,Kleven,Tyler,D,1600000.0
8482144,Thompson,Jack,D,800000.0
8481607,Johansson,Albert,D,1125000.0
8481726,Edstrom,Adam,C,975000.0
8482624,Miromanov,Daniil,D,1250000.0
8483425,Bichsel,Lian,D,918333.0
8483553,Gatcomb,Marc,C,900000.0
8476429,Mayfield,Scott,D,3500000.0
8477931,Nosek,Tomas,L,775000.0
8478399,Siegenthaler,Jonas,D,3400000.0
8477810,Hanley,Joel,D,1750000.0
8479370,Jost,Tyson,C,775000.0
8479336,Grundstrom,Carl,R,1800000.0
8479372,Mahura,Josh,D,907500.0
8473507,Petry,Jeff,D,775000.0
8475718,Holl,Justin,D,3400000.0
8477425,Wood,Miles,L,2500000.0
8476624,Goodrow,Barclay,R,3641667.0
8477993,Kirkland,Justin,C,900000.0
8478413,Greenway,Jordan,L,4000000.0
8479421,Moverare,Jacob,D,775000.0
8480848,Dellandrea,Ty,C,1300000.0
8480879,Bernard-Docker,Jacob,D,875000.0
8481161,Christiansen,Jake,D,975000.0
8481655,Schwindt,Cole,R,825000.0
8482460,Rempe,Matt,C,975000.0
8482700,Allan,Nolan,D,825000.0
8483429,Casey,Seamus,D,950000.0
8483930,Ivan,Ivan,C,845000.0
8480196,Bryson,Jacob,D,900000.0
8481006,Tucker,Tyler,D,925000.0
8482451,Pyyhtia,Mikael,L,775000.0
8482726,Helenius,Samuel,C,805833.0
8474568,Schenn,Luke,D,2750000.0
8475714,Jarnkrok,Calle,C,2100000.0
8475413,Dowling,Justin,C,775000.0
8474612,Hamonic,Travis,D,1000000.0
8476854,Lindholm,Hampus,D,6500000.0
8477511,Mantha,Anthony,R,2500000.0
8477938,Fleury,Haydn,D,950000.0
8478043,Lafferty,Sam,C,2000000.0
8484810,Fischer,Christian,D,0.0
8478450,Wotherspoon,Parker,D,1000000.0
